FirstName,LastName,Position,FinalRating,Acc,Speed,Power,Accuracy,Penalty,ShortPass,LongPass,Agility,Control,Strength,Stealing
Jean,Houghton,Defender,73.321,81,79,99,68,50,74,68,69,60,90,47
Demonte,Wicks,Midfield,65.609,56,64,94,72,65,68,73,57,60,51,67
Gerard,Carlson,Defender,69.731,69,87,78,32,61,77,56,86,70,85,57
Keyon,Lanham,Midfield,65.211,76,58,65,80,91,75,62,40,66,42,69
Gregory,Buck,Midfield,71.46,49,48,46,70,71,92,78,75,77,94,71
Phillip,Meier,Defender,78.906,76,88,94,87,74,67,77,75,39,72,78
Kendell,Betz,Midfield,70.396,91,71,50,69,76,39,68,63,82,94,60
Quentin,Daniel,Midfield,63.083,34,67,59,72,70,57,72,62,59,68,88
Jaime,Pepper,Midfield,56.036,56,59,55,54,66,56,85,59,62,53,50
Alberto,Fox,Defender,77.975,64,76,72,96,84,75,94,52,74,65,68
Blaine,Aguilera,Midfield,64.945,50,57,77,66,61,72,71,70,84,64,50
Alonso,Trinidad,Forward,56.568,67,68,61,75,72,34,52,70,67,43,50
Caden,Bagwell,Midfield,75.449,86,80,57,72,90,97,62,80,47,61,69
Dimitri,Greco,Goaltender,66.141,74,54,83,99,61,52,61,72,71,60,44
Trent,Langston,Midfield,57.499,82,51,68,55,72,51,56,78,49,30,74
Drake,Forman,Midfield,74.119,74,99,48,64,78,78,92,60,77,37,84
Alfred,Pagan,Forward,74.651,85,86,52,54,98,78,53,80,83,70,56
Presley,Weber,Forward,66.274,57,90,70,71,64,63,75,51,36,75,80
Sidney,Kopp,Midfield,69.465,92,82,73,83,70,74,35,50,64,59,74
Nestor,Coughlin,Midfield,68.535,66,59,66,56,90,73,99,53,73,60,54
Steve,Hensley,Forward,66.141,65,75,58,79,61,95,66,70,67,49,46
Robert,Tan,Midfield,66.54,52,72,76,52,58,85,99,64,59,55,62
Omar,Meeks,Midfield,66.008,88,73,54,48,44,91,61,79,58,84,50
Jaylin,Trinidad,Forward,83.56,91,77,96,57,94,80,70,71,87,67,72
